MODULO,ROL,NUMERO,FUNCIONALIDAD,ACTUAL,"Agregar, Eliminar, cambiar, mover, habilitar, bloquear",observacion,observacion
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),7.14,VER PROGRAMAS (SOLO LECTURA),habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),7.15,VER ELEMENTOS (SOLO LECTURA),habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),7.16,VER ACTIVIDADES (SOLO LECTURA),habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),7.17, PUEDE CREAR/EDITAR/ELIMINAR**,❌,,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",CONTRATISTA (`CONTRATISTA`),7.18,VER ACTIVIDADES DE SU PROGRAMA (EN FORMULARIO),habilitado,si desde el boton crear registro ,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",CONTRATISTA (`CONTRATISTA`),7.19,VER CRITERIOS DE APROBACION,habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",CONTRATISTA (`CONTRATISTA`),7.20,PUEDE EDITAR PROGRAMAS/ELEMENTOS/ACTIVIDADES**,❌,,,
🏭 MODULO 8: SERVICIOS (TIPOS DE CONTRATISTA),ADMINISTRADOR (`ADMIN`),8.1,VER LISTA DE SERVICIOS,habilitado,ok,,
🏭 MODULO 8: SERVICIOS (TIPOS DE CONTRATISTA),ADMINISTRADOR (`ADMIN`),8.2,CREAR NUEVO SERVICIO,habilitado,ok,,
🏭 MODULO 8: SERVICIOS (TIPOS DE CONTRATISTA),ADMINISTRADOR (`ADMIN`),8.3,EDITAR SERVICIO,habilitado,ok,,
🏭 MODULO 8: SERVICIOS (TIPOS DE CONTRATISTA),ADMINISTRADOR (`ADMIN`),8.4,ASIGNAR PROGRAMA AL SERVICIO,habilitado,ok,,
🏭 MODULO 8: SERVICIOS (TIPOS DE CONTRATISTA),ADMINISTRADOR (`ADMIN`),8.5,ELIMINAR SERVICIO,habilitado,ok,,
🏭 MODULO 8: SERVICIOS (TIPOS DE CONTRATISTA),ADMINISTRADOR (`ADMIN`),8.6,ACTIVAR/DESACTIVAR SERVICIO,habilitado,ok,,
🏭 MODULO 8: SERVICIOS (TIPOS DE CONTRATISTA),ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),8.7,VER LISTA DE SERVICIOS (SOLO LECTURA),habilitado,ok,,
🏭 MODULO 8: SERVICIOS (TIPOS DE CONTRATISTA),ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),8.8,PUEDE CREAR/EDITAR/ELIMINAR SERVICIOS**,❌,,,
🏭 MODULO 8: SERVICIOS (TIPOS DE CONTRATISTA),CONTRATISTA (`CONTRATISTA`),8.9,VER SUS SERVICIOS ASIGNADOS,habilitado,no se visualiza pero esto esta linkeado al programa como tal que configuramos nosotros por servicio ,,
🏭 MODULO 8: SERVICIOS (TIPOS DE CONTRATISTA),CONTRATISTA (`CONTRATISTA`),8.10, PUEDE ACCEDER A ESTE MODULO**,❌,,,
🏢 MODULO 9: DEPENDENCIAS,ADMINISTRADOR (`ADMIN`),9.1,VER LISTA DE DEPENDENCIAS,habilitado,ok,esta lista de dependencias deberia venir desde asem? Desde los niveles FAENA,
🏢 MODULO 9: DEPENDENCIAS,ADMINISTRADOR (`ADMIN`),9.2,CREAR NUEVA DEPENDENCIA,habilitado,ok,,
🏢 MODULO 9: DEPENDENCIAS,ADMINISTRADOR (`ADMIN`),9.3,EDITAR DEPENDENCIA,habilitado,ok,,
🏢 MODULO 9: DEPENDENCIAS,ADMINISTRADOR (`ADMIN`),9.4,ELIMINAR DEPENDENCIA,habilitado,ok,,
🏢 MODULO 9: DEPENDENCIAS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),9.5,VER DEPENDENCIAS (SOLO LECTURA),habilitado,ok,,
🏢 MODULO 9: DEPENDENCIAS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),9.6,PUEDE CREAR/EDITAR/ELIMINAR**,❌,,,
🏢 MODULO 9: DEPENDENCIAS,CONTRATISTA (`CONTRATISTA`),9.7,TIENE ACCESO A ESTE MODULO**,❌,,,
📎 MODULO 10: EVIDENCIAS,ADMINISTRADOR (`ADMIN`),10.1,VER LISTA CONSOLIDADA DE TODAS LAS EVIDENCIAS,habilitado,ok,si nosotros ponemos el check de registrar evidencias¿ hace obligatorio que el contratista cargue la evidencia en donde este check este seleccionado ?,
📎 MODULO 10: EVIDENCIAS,ADMINISTRADOR (`ADMIN`),10.2,VISUALIZAR EVIDENCIA EN NAVEGADOR,habilitado,ok,,
📎 MODULO 10: EVIDENCIAS,ADMINISTRADOR (`ADMIN`),10.3,DESCARGAR EVIDENCIA,habilitado,ok,"cuando sean muchas evidencias hay que agregar filtros ( programa, elementos, actividades, eecc, periodo,)",
📎 MODULO 10: EVIDENCIAS,ADMINISTRADOR (`ADMIN`),10.4,FILTRAR EVIDENCIAS,habilitado,,no se visualiza ningun filtro,
📎 MODULO 10: EVIDENCIAS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),10.5,VER EVIDENCIAS DE SUS CONTRATISTAS,habilitado,ok,,
📎 MODULO 10: EVIDENCIAS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),10.6,VISUALIZAR EVIDENCIA EN NAVEGADOR,habilitado,ok,,
📎 MODULO 10: EVIDENCIAS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),10.7,DESCARGAR EVIDENCIA,habilitado,ok,,
📎 MODULO 10: EVIDENCIAS,CONTRATISTA (`CONTRATISTA`),10.8,VER SUS PROPIAS EVIDENCIAS,habilitado,eliminar,,
📎 MODULO 10: EVIDENCIAS,CONTRATISTA (`CONTRATISTA`),10.9,SUBIR EVIDENCIA (HASTA 4 POR ACTIVIDAD),habilitado,eliminar,,
📎 MODULO 10: EVIDENCIAS,CONTRATISTA (`CONTRATISTA`),10.10,VISUALIZAR EVIDENCIA EN NAVEGADOR,habilitado,eliminar,,
📎 MODULO 10: EVIDENCIAS,CONTRATISTA (`CONTRATISTA`),10.11,DESCARGAR EVIDENCIA,habilitado,eliminar,,
📎 MODULO 10: EVIDENCIAS,CONTRATISTA (`CONTRATISTA`),10.12,ELIMINAR EVIDENCIA (ANTES DE AUDITORIA),habilitado,eliminar,,
📈 MODULO 11: REPORTES,ADMINISTRADOR (`ADMIN`),11.1,VER REPORTES CONSOLIDADOS,habilitado,,,
📈 MODULO 11: REPORTES,ADMINISTRADOR (`ADMIN`),11.2,"FILTRAR POR PERIODO, EECC, DEPENDENCIA",habilitado,,"hay que incorporar filtros ( elementos, periodo, % cumplimiento, eecc) ",
📈 MODULO 11: REPORTES,ADMINISTRADOR (`ADMIN`),11.3,EXPORTAR A EXCEL,habilitado,ok,,
📈 MODULO 11: REPORTES,ADMINISTRADOR (`ADMIN`),11.4,EXPORTAR A PDF,habilitado,ok,,
MODULO X: PLANES DE ACCION,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),,,,para incorporar las minutas de las reuniones de accountability en donde se pueda hacer seguimiento al cierre de acciones ,,
📈 MODULO 11: REPORTES,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),11.5,VER REPORTES DE SUS CONTRATISTAS,habilitado,ok,,
📈 MODULO 11: REPORTES,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),11.6,EXPORTAR A EXCEL,habilitado,no se visualiza,,
📈 MODULO 11: REPORTES,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),11.7,EXPORTAR A PDF,habilitado,ok,,
📈 MODULO 11: REPORTES,CONTRATISTA (`CONTRATISTA`),11.8,TIENE ACCESO A REPORTES CONSOLIDADOS**,❌,,,
MODULO XX: planes de accion,CONTRATISTA (`CONTRATISTA`),,,,gestionar acciones y  compromisos generados de la reunion de accountability ( que carga el auditor en la sesion de accountability con el contratista) que podria ser como una minuta con fecha de compromiso y estado (cumple o no cumple) ,,
🔔 MODULO 12: NOTIFICACIONES POR EMAIL,CONTRATISTA (`CONTRATISTA`),12.1,SOLICITUD DE REAPERTURA CREADA,Admin de Contrato asignado,no podemos validar ,,
🔔 MODULO 12: NOTIFICACIONES POR EMAIL,CONTRATISTA (`CONTRATISTA`),12.2,SOLICITUD DE REAPERTURA APROBADA,Contratista solicitante,no podemos validar ,,
🔔 MODULO 12: NOTIFICACIONES POR EMAIL,CONTRATISTA (`CONTRATISTA`),12.3,SOLICITUD DE REAPERTURA RECHAZADA,Contratista solicitante,no podemos validar ,,
🔔 MODULO 12: NOTIFICACIONES POR EMAIL,CONTRATISTA (`CONTRATISTA`),12.4,AUDITORIA COMPLETADA,(Pendiente),no podemos validar ,,
🔔 MODULO 12: NOTIFICACIONES POR EMAIL,CONTRATISTA (`CONTRATISTA`),12.5,FECHA LIMITE DE SUBSANACION PROXIMA,(Pendiente),no podemos validar ,,
🔔 MODULO 12: NOTIFICACIONES POR EMAIL,CONTRATISTA (`CONTRATISTA`),12.6,NUEVO REGISTRO ENVIADO,(Pendiente),no podemos validar ,,
AGREGAR MODULO SOLICITUDES DE REAPERTURA,ADMINISTRADOR (`ADMIN`),,,,,incorporar flujo de aprobacion para solicitudes de apertura. ,
AGREGAR MODULO AVANCE COMPROMISOS (ACCIONES ) de reuniones de accountability ( QUE SEA UNA PESTAÑA MODULO) ,ADMINISTRADOR (`ADMIN`),,,,,que podamos visualizar las acciones abordadas en las reuniones de accountability ( empresa- periodo- ADC- ACCIONES Y ESTADO DE LAS ACCIONES) indicador % cierre de acciones ,
